dates,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,winner,player_of_match,match_id
2008-04-18,Bangalore,2008,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1,Kolkata Knight Riders,BB McCullum,1.0
2008-04-19,Chandigarh,2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,MEK Hussey,2.0
2008-04-19 00:00:00,Delhi,2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,1,Delhi Daredevils,MF Maharoof,3.0
2008-04-20,Kolkata,2008,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Eden Gardens,1,Kolkata Knight Riders,DJ Hussey,4.0
2008-04-20,Mumbai,2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,1,Royal Challengers Bangalore,MV Boucher,5.0
2008-04-21,Jaipur,2008,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,SR Watson,6.0
2008-04-22,Hyderabad,2008,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",1,Delhi Daredevils,V Sehwag,7.0
2008-04-23,Chennai,2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,ML Hayden,8.0
2008-04-24,Hyderabad,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",1,Rajasthan Royals,YK Pathan,9.0
2008-04-25,Chandigarh,2008,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,KC Sangakkara,10.0
2008-04-26,Chennai,2008,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,JDP Oram,11.0
2008-04-26,Bangalore,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,1,Rajasthan Royals,SR Watson,12.0
2008-04-27,Mumbai,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,1,Deccan Chargers,AC Gilchrist,13.0
2008-04-27,Chandigarh,2008,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,SM Katich,14.0
2008-04-28,Bangalore,2008,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,1,Chennai Super Kings,MS Dhoni,15.0
2008-04-29,Kolkata,2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,1,Mumbai Indians,ST Jayasuriya,16.0
2008-04-30,Delhi,2008,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,1,Delhi Daredevils,GD McGrath,17.0
2008-05-01,Jaipur,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,SA Asnodkar,18.0
2008-05-01,Hyderabad,2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,SE Marsh,19.0
2008-05-02,Chennai,2008,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1,Delhi Daredevils,V Sehwag,20.0
2008-05-03,Chandigarh,2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,IK Pathan,21.0
2008-05-03,Bangalore,2008,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,P Kumar,22.0
2008-05-04,Jaipur,2008,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium,1,Rajasthan Royals,Sohail Tanvir,23.0
2008-05-04,Mumbai,2008,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Dr DY Patil Sports Academy,1,Mumbai Indians,SM Pollock,24.0
2008-05-05,Bangalore,2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,1,Kings XI Punjab,S Sreesanth,25.0
2008-05-06,Chennai,2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,AC Gilchrist,26.0
2008-05-07,Mumbai,2008,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Dr DY Patil Sports Academy,1,Mumbai Indians,A Nehra,27.0
2008-05-08,Delhi,2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,1,Chennai Super Kings,MS Dhoni,28.0
2008-05-08,Kolkata,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,1,Kolkata Knight Riders,SC Ganguly,29.0
2008-05-09,Jaipur,2008,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Rajasthan Royals,YK Pathan,30.0
2008-05-10,Chennai,2008,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,L Balaji,31.0
2008-05-11,Hyderabad,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,SC Ganguly,32.0
2008-05-11,Jaipur,2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Sawai Mansingh Stadium,1,Rajasthan Royals,SR Watson,33.0
2008-05-12,Chandigarh,2008,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,SE Marsh,34.0
2008-05-13,Kolkata,2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens,1,Kolkata Knight Riders,Shoaib Akhtar,35.0
2008-05-14,Mumbai,2008,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,1,Mumbai Indians,ST Jayasuriya,36.0
