date,city,team1,team2,toss,decision,venue,result,winner,mom,match_no
2008-04-18,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,1.0,Kolkata Knight Riders,BB McCullum,1.0
2008-04-19,Chandigarh,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",1.0,Chennai Super Kings,MEK Hussey,2.0
2008-04-19 00:00:00,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,1.0,Delhi Daredevils,MF Maharoof,3.0
2008-04-20,Kolkata,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Eden Gardens,1.0,Kolkata Knight Riders,DJ Hussey,4.0
2008-04-20,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,1.0,Royal Challengers Bangalore,MV Boucher,5.0
2008-04-21,Jaipur,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Sawai Mansingh Stadium,1.0,Rajasthan Royals,SR Watson,6.0
2008-04-22,Hyderabad,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",1.0,Delhi Daredevils,V Sehwag,7.0
2008-04-23,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,ML Hayden,8.0
2008-04-24,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",1.0,Rajasthan Royals,YK Pathan,9.0
2008-04-25,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,KC Sangakkara,10.0
2008-04-26,Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,JDP Oram,11.0
2008-04-26,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,1.0,Rajasthan Royals,SR Watson,12.0
2008-04-27,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,1.0,Deccan Chargers,AC Gilchrist,13.0
2008-04-27,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,SM Katich,14.0
2008-04-28,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,1.0,Chennai Super Kings,MS Dhoni,15.0
2008-04-29,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,1.0,Mumbai Indians,ST Jayasuriya,16.0
2008-04-30,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,1.0,Delhi Daredevils,GD McGrath,17.0
2008-05-01,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,1.0,Rajasthan Royals,SA Asnodkar,18.0
2008-05-01,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,"Rajiv Gandhi International Stadium, Uppal",1.0,Kings XI Punjab,SE Marsh,19.0
2008-05-02,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",1.0,Delhi Daredevils,V Sehwag,20.0
2008-05-03,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,IK Pathan,21.0
2008-05-03,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,P Kumar,22.0
2008-05-04,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium,1.0,Rajasthan Royals,Sohail Tanvir,23.0
2008-05-04,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Dr DY Patil Sports Academy,1.0,Mumbai Indians,SM Pollock,24.0
2008-05-05,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium,1.0,Kings XI Punjab,S Sreesanth,25.0
2008-05-06,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,"MA Chidambaram Stadium, Chepauk",1.0,Deccan Chargers,AC Gilchrist,26.0
2008-05-07,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Dr DY Patil Sports Academy,1.0,Mumbai Indians,A Nehra,27.0
2008-05-08,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,1.0,Chennai Super Kings,MS Dhoni,28.0
2008-05-08,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,1.0,Kolkata Knight Riders,SC Ganguly,29.0
2008-05-09,Jaipur,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Sawai Mansingh Stadium,1.0,Rajasthan Royals,YK Pathan,30.0
2008-05-10,Chennai,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,L Balaji,31.0
2008-05-11,Hyderabad,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",1.0,Kolkata Knight Riders,SC Ganguly,32.0
2008-05-11,Jaipur,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Sawai Mansingh Stadium,1.0,Rajasthan Royals,SR Watson,33.0
2008-05-12,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,SE Marsh,34.0
2008-05-13,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Eden Gardens,1.0,Kolkata Knight Riders,Shoaib Akhtar,35.0
2008-05-14,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,1.0,Mumbai Indians,ST Jayasuriya,36.0
2008-05-15,Delhi,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Feroz Shah Kotla,1.0,Delhi Daredevils,A Mishra,37.0
2008-05-16,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,1.0,Mumbai Indians,SM Pollock,38.0
2008-05-17,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,1.0,Rajasthan Royals,GC Smith,39.0
